City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,76.73,scattered clouds,-23.1203,-134.9692,People ThankYou
3,Saint George,US,80.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
8,Ontario,US,66.87,light intensity drizzle,34.0633,-117.6509,Capri Motel
11,Lira,UG,68.72,overcast clouds,2.235,32.9097,ST Lira Hotel Limited
13,Kapaa,US,75.52,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
15,Georgetown,MY,82.33,light rain,5.4112,100.3354,Cititel Penang
17,Ribeira Grande,PT,66.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
19,Isangel,VU,73.17,scattered clouds,-19.55,169.2667,Tanna Lodge
24,Los Llanos De Aridane,ES,65.95,broken clouds,28.6585,-17.9182,Valle Aridane
26,Natal,BR,86.22,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
27,Nishihara,JP,76.68,overcast clouds,26.1842,127.7558,Minshuku Agaihama
28,Kailua,US,76.64,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
29,Jiuquan,CN,63.34,broken clouds,39.7432,98.5174,Jiuquan Hotel
30,Hithadhoo,MV,84.43,moderate rain,-0.6,73.0833,Scoop Guest House
40,Bosaso,SO,84.2,clear sky,11.2842,49.1816,Red Sea Hotel
41,Arraial Do Cabo,BR,75.16,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
43,Amahai,ID,79.81,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
51,Madalag,PH,81.21,broken clouds,10.8994,122.9828,Playa del Puerto Beach Resort
53,Mar Del Plata,AR,73.94,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
55,Cidreira,BR,68.31,clear sky,-30.1811,-50.2056,Hotel Castelo
58,Saint-Philippe,RE,72.99,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
61,Nauta,PE,79.99,overcast clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
64,Mpongwe,ZM,69.84,broken clouds,-13.5091,28.155,Casablanca guest house and bar
65,Silifke,TR,65.05,broken clouds,36.3778,33.9344,Ayatekla Hotel
69,Jamestown,US,64.53,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
70,Khash,IR,80.6,few clouds,28.2211,61.2158,خوابگاه آبجی محدثه
71,Honiara,SB,77.32,overcast clouds,-9.4333,159.95,Heritage Park Hotel
73,Meulaboh,ID,78.3,overcast clouds,4.1363,96.1285,Kost Pria
74,Vaitape,PF,81.32,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
75,Townsville,AU,68.88,light intensity shower rain,-19.25,146.8,Rydges Southbank Townsville
81,Touros,BR,82.45,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
83,Bandarbeyla,SO,83.25,clear sky,9.4942,50.8122,JABIR HOTEL
85,Manavgat,TR,63.72,broken clouds,36.7867,31.4431,Lake & River Side Hotel & Spa
90,Tambura,SS,72.68,light rain,5.6,27.4667,Rikito Lodge
93,Burriana,ES,72.45,broken clouds,39.889,-0.085,Hotel Beatriz
96,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
97,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
102,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
103,Piacabucu,BR,82.29,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
105,Atuona,PF,78.69,scattered clouds,-9.8,-139.0333,Villa Enata
107,Troy,US,65.98,clear sky,42.6056,-83.1499,Embassy Suites by Hilton Detroit Troy Auburn Hills
112,Hutchinson,US,83.03,broken clouds,38.0608,-97.9298,Hampton Inn Hutchinson
114,Vao,NC,73.47,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
117,Pizarro,CO,83.14,light rain,4.9533,-77.366,Hotel Limonar
119,Kannur,IN,82.49,moderate rain,11.8675,75.3576,Asokam Beach Resort and Ayurveda Chikitsa Kendram
121,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
126,Sakakah,SA,74.77,few clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
128,Aboisso,CI,81.32,overcast clouds,5.4678,-3.2071,Residence Belle Vue
