City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,50.49,98,78,1.99,broken clouds
1,Rikitea,PF,-23.1203,-134.9692,76.73,77,49,23.15,scattered clouds
2,Severo-Kurilsk,RU,50.6789,156.125,38.71,95,100,19.15,light rain
3,Saint George,US,37.1041,-113.5841,80.64,12,0,8.01,clear sky
4,Sioux Lookout,CA,50.1001,-91.917,44.67,100,100,10.36,light rain
5,East London,ZA,-33.0153,27.9116,61.74,82,0,10.36,clear sky
6,Ushuaia,AR,-54.8,-68.3,44.26,61,40,41.43,light intensity drizzle
7,New Norfolk,AU,-42.7826,147.0587,42.71,78,22,2.44,few clouds
8,Ontario,US,34.0633,-117.6509,66.87,80,100,12.66,light intensity drizzle
9,Hilo,US,19.7297,-155.09,87.28,92,100,5.75,light rain
10,Port Alfred,ZA,-33.5906,26.891,58.17,90,89,4.0,overcast clouds
11,Lira,UG,2.235,32.9097,68.72,81,98,1.45,overcast clouds
12,Waipawa,NZ,-41.4122,175.5153,58.59,80,99,12.53,overcast clouds
13,Kapaa,US,22.0752,-159.319,75.52,87,100,11.5,overcast clouds
14,Talnakh,RU,69.4865,88.3972,2.71,97,37,5.21,scattered clouds
15,Georgetown,MY,5.4112,100.3354,82.33,93,20,2.3,light rain
16,Dikson,RU,73.5069,80.5464,21.61,94,99,28.59,light snow
17,Ribeira Grande,PT,38.5167,-28.7,66.6,72,20,11.5,few clouds
18,Thompson,CA,55.7435,-97.8558,48.36,81,100,18.41,overcast clouds
19,Isangel,VU,-19.55,169.2667,73.17,76,25,11.7,scattered clouds
20,Norman Wells,CA,65.282,-126.8329,37.44,65,75,9.22,broken clouds
21,Castanos,MX,26.7833,-101.4167,97.03,21,5,7.0,clear sky
22,Zyryanka,RU,65.75,150.85,27.23,83,29,13.04,scattered clouds
23,Busselton,AU,-33.65,115.3333,57.18,82,7,3.49,clear sky
24,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,73,75,14.97,broken clouds
25,Halifax,CA,44.6453,-63.5724,53.53,44,100,8.01,overcast clouds
26,Natal,BR,-5.795,-35.2094,86.22,66,75,18.41,broken clouds
27,Nishihara,JP,26.1842,127.7558,76.68,97,100,10.36,overcast clouds
28,Kailua,US,21.4022,-157.7394,76.64,77,75,9.22,broken clouds
29,Jiuquan,CN,39.7432,98.5174,63.34,22,77,5.68,broken clouds
30,Hithadhoo,MV,-0.6,73.0833,84.43,77,65,19.73,moderate rain
31,Yellowknife,CA,62.456,-114.3525,32.56,74,100,26.46,overcast clouds
32,Berlevag,NO,70.8578,29.0864,30.0,78,86,8.97,overcast clouds
33,Capreol,CA,46.706,-80.9225,63.91,22,20,9.22,few clouds
34,Ishigaki,JP,24.3448,124.1572,75.33,100,99,1.14,overcast clouds
35,Lisakovsk,KZ,52.5369,62.4936,50.09,34,11,8.39,few clouds
36,Hobart,AU,-42.8794,147.3294,43.05,88,21,9.22,few clouds
37,Khatanga,RU,71.9667,102.5,4.57,97,20,9.31,few clouds
38,Aranos,NA,-24.1333,19.1167,56.77,26,0,9.24,clear sky
39,Albany,US,42.6001,-73.9662,63.34,30,71,1.01,broken clouds
40,Bosaso,SO,11.2842,49.1816,84.2,72,6,0.4,clear sky
41,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,73,40,6.91,scattered clouds
42,Punta Arenas,CL,-53.15,-70.9167,46.51,57,40,27.63,scattered clouds
43,Amahai,ID,-3.3333,128.9167,79.81,87,93,1.66,overcast clouds
44,Ipora,BR,-16.4419,-51.1178,91.47,31,0,1.52,clear sky
45,Moss Vale,AU,-34.55,150.3833,50.14,92,13,1.74,few clouds
46,Zhigansk,RU,66.7697,123.3711,22.89,95,100,26.66,snow
47,Leningradskiy,RU,69.3833,178.4167,20.19,96,100,3.42,overcast clouds
48,Nikolskoye,RU,59.7035,30.7861,43.72,76,67,5.35,light rain
49,Nagato,JP,34.3833,131.2,60.21,73,55,9.69,broken clouds
