City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2022-05-04 23:41:09,-34.5322,20.0403,58.62,94,53,3.42
1,Atuona,PF,2022-05-04 23:41:09,-9.8,-139.0333,79.47,74,16,15.93
2,Hilo,US,2022-05-04 23:40:52,19.7297,-155.09,82.27,84,100,11.5
3,Tuatapere,NZ,2022-05-04 23:41:10,-46.1333,167.6833,62.1,71,92,5.17
4,Tuktoyaktuk,CA,2022-05-04 23:41:11,69.4541,-133.0374,26.6,93,100,12.66
5,Ponta Do Sol,PT,2022-05-04 23:41:11,32.6667,-17.1,63.23,68,41,6.33
6,Natal,BR,2022-05-04 23:39:06,-5.795,-35.2094,79.02,94,40,5.75
7,Longyearbyen,SJ,2022-05-04 23:41:12,78.2186,15.6401,17.44,67,20,8.05
8,Ancud,CL,2022-05-04 23:41:13,-41.8697,-73.8203,53.96,99,100,6.08
9,Bitung,ID,2022-05-04 23:41:13,1.4451,125.1824,85.05,76,81,0.98
10,Cherskiy,RU,2022-05-04 23:41:14,68.75,161.3,32.88,100,99,3.78
11,Rikitea,PF,2022-05-04 23:41:15,-23.1203,-134.9692,77.27,84,86,20.83
12,Columbia,US,2022-05-04 23:39:09,34.0007,-81.0348,87.8,42,40,11.5
13,Kaoma,ZM,2022-05-04 23:41:15,-14.7833,24.8,56.98,83,8,5.26
14,Vaini,TO,2022-05-04 23:41:16,-21.2,-175.2,76.69,75,46,9.35
15,Saint-Philippe,RE,2022-05-04 23:41:16,-21.3585,55.7679,74.79,85,41,14.16
16,Brae,GB,2022-05-04 23:41:17,60.3964,-1.353,46.47,74,99,16.8
17,Clive,US,2022-05-04 23:41:17,41.603,-93.7241,61.05,62,75,14.97
18,Port Elizabeth,ZA,2022-05-04 23:41:18,-33.918,25.5701,61.11,100,20,4.61
19,Qandala,SO,2022-05-04 23:41:18,11.472,49.8728,88.07,43,44,5.84
20,Cabra,ES,2022-05-04 23:41:19,37.4725,-4.4421,54.32,80,42,1.19
21,Khatanga,RU,2022-05-04 23:41:19,71.9667,102.5,13.39,96,98,5.91
22,Lata,PT,2022-05-04 23:41:20,40.1629,-8.3327,58.08,76,3,2.64
23,Itoman,JP,2022-05-04 23:41:21,26.1247,127.6694,71.98,94,75,12.66
24,Narsaq,GL,2022-05-04 23:41:21,60.9167,-46.05,39.42,60,16,1.61
25,Nikolskoye,RU,2022-05-04 23:41:22,59.7035,30.7861,36.81,74,23,5.64
26,Hobyo,SO,2022-05-04 23:41:22,5.3505,48.5268,83.19,70,50,15.21
27,New Norfolk,AU,2022-05-04 23:41:23,-42.7826,147.0587,52.92,73,44,1.81
28,Biak,ID,2022-05-04 23:41:23,-0.9131,122.8766,80.6,75,98,2.71
29,Chuy,UY,2022-05-04 23:41:24,-33.6971,-53.4616,56.62,86,18,3.76
30,Busselton,AU,2022-05-04 23:41:24,-33.65,115.3333,53.73,60,0,13.85
31,Fortuna,US,2022-05-04 23:41:25,40.5982,-124.1573,60.93,80,20,13.8
32,Sur,OM,2022-05-04 23:41:26,22.5667,59.5289,81.81,46,0,3.29
33,Lazaro Cardenas,MX,2022-05-04 23:41:26,17.9583,-102.2,81.86,64,98,10.16
34,Provideniya,RU,2022-05-04 23:41:27,64.3833,-173.3,33.91,69,20,4.47
